action,row_count,body_bytes,body_mib
guest.intake.created,3711,3093858,2.951
rsvp.response.staff_amended,3677,3054867,2.913
auth.session.issued,1987,969656,0.925
layout.command.create_object,845,706224,0.674
assignment.granted,262,212576,0.203
seatingV2.createRule,153,97308,0.093
seatingV2.freezePackage,152,97229,0.093
consent.recorded,147,102504,0.098
seatingV2.activateRule,140,92968,0.089
seatingV2.launchRun,136,86436,0.082
auth.session.revoked,135,68580,0.065
event.list,123,61992,0.059
layout.validation.ran,115,95196,0.091
layout.approval.submitted,103,85032,0.081
layout.approval.approved,102,91628,0.087
layout.created,102,82911,0.079
discovery.source.recorded,92,66664,0.064
event.created,90,59416,0.057
layout.published,89,72968,0.07
seatingV2.withdrawRule,78,49920,0.048
assertion.proposed,76,55936,0.053
layout.command.generate_seats,74,67192,0.064
discovery.engagement.started,71,53818,0.051
engagement.created,71,52112,0.05
rsvp.surface.prepared,70,51311,0.049
venue.adopted,70,56937,0.054
atelierCommand.execute,69,53724,0.051
atelierCommand.instruct,66,47160,0.045
budget.calculated,62,43184,0.041
seatingV2.proposeLayoutBinding,62,40145,0.038
risk.dossier.assemble,60,40028,0.038
seatingV2.adoptRun,59,37524,0.036
seatingV2.activateLayoutBinding,50,32404,0.031
risk.event.evaluate,49,36652,0.035
risk.dossier.publish,49,32700,0.031
brief.drafted,44,31504,0.03
brief.submitted,44,31328,0.03
assertion.reviewed,43,35260,0.034
client.list,42,21336,0.02
brief.decided,38,30096,0.029
layout.capacity.recorded,36,30528,0.029
atelierCommand.task,35,25540,0.024
risk.dossier.submit,31,20788,0.02
risk.dossier.approve,30,20128,0.019
seatingV2.requestExport,30,19200,0.018
seatingV2.applyManual,29,18444,0.018
atelier.narrative.revision_started,24,20064,0.019
guest.addressing.updated,22,17196,0.016
event.view,21,10584,0.01
seatingV2.submitPlan,21,13356,0.013
layout.export.requested,21,17640,0.017
platform.access.administer,20,10400,0.01
seatingV2.reconcileLegacyDuplicateRules,19,16340,0.016
risk.fact.record,19,13984,0.013
discovery.participant.added,19,14136,0.013
layout.export.completed,17,15912,0.015
layout.command.update_properties,17,15172,0.014
assignment.manage,17,8772,0.008
risk.dossier.client_access.issue,15,10200,0.01
seatingV2.publishPlan,15,9540,0.009
auth.session.denied,15,6204,0.006
executiveCommand.evaluate,15,7920,0.008
layout.updated,14,10884,0.01
risk.rule.create,13,8944,0.009
budget.decided,13,9032,0.009
risk.dossier.client_access.revoke,13,8840,0.008
discovery.client_access.issued,13,9672,0.009
createSeatingConstraint,12,7440,0.007
risk.source.create,12,8256,0.008
seatingV2.approvePlan,12,7632,0.007
risk.source.approve,11,8492,0.008
launchSeatingRun,11,6732,0.006
layout.snapshot.created,10,8400,0.008
risk.rule.withdraw,10,7112,0.007
roadmap.instantiated,10,7200,0.007
seatingV2.runEvaluation,10,6720,0.006
merch.guestAccess.renewed,10,8316,0.008
brief.published,9,7164,0.007
change.detected,9,6372,0.006
guest.intake.job.created,9,6992,0.007
change.assessed,9,6408,0.006
assertion.conflict.resolved,9,7600,0.007
engagement.converted,8,6688,0.006
risk.rule.review,8,6144,0.006
risk.dossier.transition,8,5404,0.005
guest.intake.promotion.advanced,8,5080,0.005
seatingV2.createReservation,8,5152,0.005
seatingV2.recordSpecialistReview,8,5184,0.005
seatingV2.activateReservation,7,4508,0.004
guest.intake.source.uploaded,7,4496,0.004
layout.command.move,7,6272,0.006
discovery.client_access.revoked,7,5852,0.006
guest.entitlement.administered,7,5964,0.006
adoptSeatingRun,7,4284,0.004
risk.budget.project,7,5208,0.005
risk.fixture.classify,7,4956,0.005
guest.intake.approved,6,4488,0.004
seatingV2.withdrawReservation,6,3864,0.004
guest.record.amended,6,4448,0.004
risk.continuity.create,6,4464,0.004
discovery.source.manage,5,2620,0.002
language.assembly.previewed,5,4200,0.004
submitSeatingPlan,5,3060,0.003
risk.evaluation.run,5,3640,0.003
guest.intake.submitted,5,3904,0.004
venue.created,5,3620,0.003
runS06Evaluation,5,3060,0.003
ai.evaluation.completed,5,2940,0.003
forecast.run.created,5,4416,0.004
guest.intake.validated,5,3652,0.003
interview.started,5,3788,0.004
ai.evaluation.requested,5,3640,0.003
risk.source.review.record,4,3104,0.003
layout.finding.overridden,4,3408,0.003
merch.vendorAssignment.renewed,4,3376,0.003
risk.roster.assign,4,2808,0.003
budget.calculation.replayed,4,2688,0.003
publishSeatingPlan,4,2464,0.002
risk.policy.create,4,2720,0.003
seatingV2.recallPlan,4,2544,0.002
guest.addressing.confirmed,4,3256,0.003
seatingV2.reconcileVerificationHardRuleConflicts,4,3768,0.004
risk.checkpoint.generate,4,2992,0.003
freezeSeatingInputs,4,2464,0.002
decideSeatingApproval,4,2464,0.002
layout.snapshot.restored,4,3680,0.004
risk.rule.withdraw.batch,3,2228,0.002
atelierCommand.approve,3,3344,0.003
merch.vendor.access.denied,3,1800,0.002
merch.vendor.access.exchanged,3,1632,0.002
guest.entitlement.nominated,3,2760,0.003
language.translation.created,3,2484,0.002
language.cultural.created,3,2520,0.002
merch.guestAccess.exchanged,3,1656,0.002
risk.clause.template.create,3,2088,0.002
guest.party.member.added,3,2628,0.003
atelier.access.exchanged,3,1620,0.002
language.preference.recorded,3,2624,0.003
layout.asset.stored,3,2496,0.002
merch.guestAccess.issued,3,2556,0.002
risk.incident.report,3,2208,0.002
provision.proposed,3,2556,0.002
createReservationBlock,3,1860,0.002
provision.approved,2,1864,0.002
language.translation.decided,2,1824,0.002
assignment.revoked,2,1860,0.002
assertion.extract.replayed,2,1368,0.001
atelier.access.issued,2,1664,0.002
atelier.narrative.published,2,1688,0.002
venue.fact.recorded,2,1448,0.001
forecast.override.proposed,2,1788,0.002
merch.vendorAssignment.revoked,2,1840,0.002
risk.fallback.authorise,2,1420,0.001
layout.asset.intent.recorded,2,1688,0.002
atelier.access.denied,2,1012,0.001
guest.party.created,2,1648,0.002
applySeatingChange,2,1232,0.001
risk.fallback.propose,2,1496,0.001
layout.asset.calibrated,2,1680,0.002
guest.child.responsibleAdult.linked,2,1704,0.002
language.cultural.decided,2,1840,0.002
programme.entitlement.assigned,2,1404,0.001
merch.participation.recorded,1,872,0.001
merch.guestAccess.revoked,1,936,0.001
atelier.decision.submitted,1,620,0.001
decideSeatingReview,1,616,0.001
atelier.decision.published,1,848,0.001
atelier.decision.reviewed,1,860,0.001
guest.relationship.amended,1,924,0.001
risk.learning.propose,1,748,0.001
releaseReservationBlock,1,620,0.001
merch.vendorAssignment.created,1,852,0.001
requestSeatingExport,1,616,0.001
atelier.access.revoked,1,860,0.001
merch.capMeasurement.guest.withdrawn,1,568,0.001
seatingV2.submitCpsatCandidate,1,648,0.001
seatingV2.reconcileObsoletePendingLayoutBindingDrafts,1,788,0.001
merch.collection.created,1,872,0.001
forecast.parameters.created,1,856,0.001
client.view,1,508,0
atelier.published,1,828,0.001
provision.rejected,1,596,0.001
merch.offer.withdrawn,1,908,0.001
layout.command.resize,1,900,0.001
guest.child.responsibleAdult.ended,1,932,0.001
language.source.revised,1,920,0.001
merch.vendorUpdate.submitted,1,560,0.001
merch.collection.updated,1,932,0.001
seatingV2.decideCpsatCandidate,1,648,0.001
forecast.hostProjection.approved,1,936,0.001
budget.submitted,1,800,0.001
seatingV2.adoptCpsatCandidate,1,644,0.001
venue.event.override.recorded,1,840,0.001
event.updated,1,892,0.001
atelierCommand.confirm,1,988,0.001
risk.residual.decide,1,828,0.001
atelier.access.renewed,1,928,0.001
layout.command.rotate,1,900,0.001
merch.item.created,1,832,0.001
programme.checkpoint.created,1,844,0.001
layout.command.undo,1,908,0.001
merch.capMeasurement.guest.captured,1,568,0.001
guest.relationship.created,1,832,0.001
venue.fact.verified,1,804,0.001
forecast.override.approved,1,920,0.001
merch.offer.rule.created,1,840,0.001
guest.directory.view,1,564,0.001
risk.residual.submit,1,744,0.001
forecast.calibration.recorded,1,844,0.001
risk.vendor.assess,1,692,0.001
merch.participation.guest.recorded,1,572,0.001
language.source.decided,1,912,0.001
layout.command.redo,1,900,0.001
