collection,row_count,body_bytes,approx_row_bytes,body_mib,approx_mib
operationalGuests,3995,5156589,5835739,4.918,5.565
guestIntakeCandidates,2150,2474609,2777759,2.36,2.649
rsvpResponses,1858,1452165,1760593,1.385,1.679
rsvpReceipts,1852,1061196,1366776,1.012,1.303
layoutRevisions,505,1166338,1250753,1.112,1.193
staffSessions,1987,921455,1054584,0.879,1.006
budgetLines,427,413040,454886,0.394,0.434
layoutCommands,395,303216,369181,0.289,0.352
aiEvaluationCaseResults,201,294036,316146,0.28,0.302
guestHouseholds,526,203228,291596,0.194,0.278
coverageAssessments,426,228564,273720,0.218,0.261
layoutValidationFindings,188,231005,264281,0.22,0.252
atelierCommandLedgers,1,235756,235826,0.225,0.225
budgetScenarioEditions,62,182621,189544,0.174,0.181
assignments,238,140440,178944,0.134,0.171
masterEventFiles,91,158424,173803,0.151,0.166
layouts,97,118096,133616,0.113,0.127
eventVenueFacts,121,99358,119686,0.095,0.114
layoutApprovals,87,98106,112722,0.094,0.108
layoutValidationRuns,99,93742,110869,0.089,0.106
discoveryConsentRecords,147,81292,97462,0.078,0.093
rsvpQuestionnaires,63,72974,83747,0.07,0.08
budgetBomSnapshots,61,70760,77165,0.067,0.074
programmePhases,93,61149,76773,0.058,0.073
sensitivityRuns,61,69460,75682,0.066,0.072
candidateAssertions,70,67294,74714,0.064,0.071
layoutEditorLeases,98,55272,72030,0.053,0.069
permissions,243,55552,71347,0.053,0.068
layoutPublications,74,58152,70806,0.055,0.068
layoutDraftCursors,88,55488,70536,0.053,0.067
events,91,55544,67010,0.053,0.064
sourceSegments,92,52468,61760,0.05,0.059
rolePermissions,220,38280,61600,0.037,0.059
extractionOutcomes,55,50586,56361,0.048,0.054
budgetAssumptions,67,48849,56147,0.047,0.054
rsvpPolicies,63,45298,55693,0.043,0.053
eventVenues,65,41860,52520,0.04,0.05
sourceArtefacts,92,42661,52045,0.041,0.05
costRuleEditions,84,41200,49852,0.039,0.048
phaseHistory,88,34912,49432,0.033,0.047
rsvpEventProjections,63,36666,47565,0.035,0.045
uncertaintyDrivers,50,33032,41582,0.032,0.04
vendorPriceCardEditions,42,36680,41300,0.035,0.039
discoveryEngagements,71,32032,39629,0.031,0.038
eventBriefEditions,44,33208,37828,0.032,0.036
engagementOpportunities,71,29193,37003,0.028,0.035
priceEvidenceRecords,42,31464,35958,0.03,0.034
layoutCapacityStatements,36,27980,34352,0.027,0.033
forecastEstimates,30,25620,30720,0.024,0.029
forecastPopulationMembers,30,23120,28460,0.022,0.027
eventBriefDrafts,44,23506,28302,0.022,0.027
confidenceAssessments,30,22550,27770,0.022,0.026
costItemDefinitions,42,21666,26118,0.021,0.025
roadmapMilestones,30,22914,26034,0.022,0.025
layoutExportJobs,18,21924,24966,0.021,0.024
vendorPriceCards,42,18220,22546,0.017,0.022
layoutSnapshots,10,18229,19909,0.017,0.019
conversationTurns,17,14172,15940,0.014,0.015
budgetTemplateEditions,10,14456,15546,0.014,0.015
assertionConflicts,12,13860,15120,0.013,0.014
impactAssessments,9,11588,12524,0.011,0.012
coverageRequirements,12,11204,12488,0.011,0.012
riskEvaluationCaseResults,16,10605,12397,0.01,0.012
contentEditions,12,10055,12071,0.01,0.012
guestIntakeJobs,8,10697,12041,0.01,0.011
contentBlocks,13,9535,11693,0.009,0.011
roadmapDependencies,20,8880,11000,0.008,0.01
roadmapScheduleResults,9,9342,10323,0.009,0.01
attendanceForecastRuns,5,9344,10082,0.009,0.01
guestMappingEditions,7,8884,9864,0.008,0.009
discoveryParticipants,19,7523,9575,0.007,0.009
recipientAssemblies,6,8399,9431,0.008,0.009
translationLinks,8,7908,9260,0.008,0.009
guestIntakeSources,7,7810,9007,0.007,0.009
roadmapTemplateEditions,6,8024,8684,0.008,0.008
discoveryClientAccess,13,6884,8288,0.007,0.008
guestPromotionChunks,10,6740,8140,0.006,0.008
merchandiseFulfilments,9,6544,8119,0.006,0.008
merchandiseGuestGrants,9,6454,8029,0.006,0.008
guestOffers,9,6456,7932,0.006,0.008
roadmapEditions,10,6868,7888,0.007,0.008
clientReviewEditions,7,7088,7837,0.007,0.007
eventNarrativeEditions,5,6380,7255,0.006,0.007
aiEvaluationRuns,5,6525,7040,0.006,0.007
layoutFloorPlanAssets,5,6103,6973,0.006,0.007
phaseEntitlements,8,5576,6936,0.005,0.007
atelierChapters,9,4953,6465,0.005,0.006
conversionReceipts,8,4960,6328,0.005,0.006
persons,14,5355,6209,0.005,0.006
reviewAssignments,7,4716,5906,0.004,0.006
changeProposals,9,4896,5814,0.005,0.006
culturalSourceTexts,4,4609,5297,0.004,0.005
hostOfferRules,6,4292,5294,0.004,0.005
layoutValidationOverrides,4,4420,5132,0.004,0.005
guestPartyMembers,7,3836,5026,0.004,0.005
clients,11,3736,4770,0.004,0.005
riskDossierEditions,4,3916,4472,0.004,0.004
venues,6,3556,4114,0.003,0.004
merchandiseCohortMembers,6,2880,3942,0.003,0.004
merchandiseItems,5,3052,3897,0.003,0.004
s05aIntelligenceReceipts,4,3307,3751,0.003,0.004
guestIntakeReceipts,4,3088,3644,0.003,0.003
languageProfiles,4,2893,3569,0.003,0.003
memberships,8,2784,3568,0.003,0.003
languagePreferenceHistories,4,2760,3480,0.003,0.003
operationalProvisionRecommendations,3,2880,3444,0.003,0.003
vendorAssignments,3,2754,3264,0.003,0.003
roles,8,2784,3256,0.003,0.003
merchandiseItemVariants,5,2312,3192,0.002,0.003
aiEvaluationRunLeases,5,2620,3160,0.002,0.003
atelierAccessGrants,3,2418,2934,0.002,0.003
atelierSessions,3,2420,2924,0.002,0.003
responsibleAdultLinks,4,2216,2912,0.002,0.003
perimeterCheckpoints,4,2192,2884,0.002,0.003
guestDuplicateCandidates,4,2016,2724,0.002,0.003
magicLinkChallenges,3,2208,2724,0.002,0.003
forecastOverrides,2,2312,2652,0.002,0.003
modelParameterSets,2,2276,2519,0.002,0.002
hostDecisionRequests,2,1992,2338,0.002,0.002
s05MigrationReceipts,4,2012,2308,0.002,0.002
riskApplicabilitySnapshots,3,1836,2274,0.002,0.002
guestIntakeOutboxEvents,4,1680,2252,0.002,0.002
guestParticipations,3,1724,2240,0.002,0.002
companionNominations,3,1637,2156,0.002,0.002
merchandiseGuestSessions,3,1572,2004,0.001,0.002
riskCheckpointInstances,3,1572,2001,0.001,0.002
riskCheckpointTemplates,3,1629,1959,0.002,0.002
vendorSessions,3,1548,1950,0.001,0.002
guestParties,3,1428,1923,0.001,0.002
merchandiseCohorts,3,1304,1817,0.001,0.002
riskContinuityPlans,2,1520,1798,0.001,0.002
arrivalRoutes,2,1413,1745,0.001,0.002
contentWorks,2,1412,1742,0.001,0.002
layoutAssetCalibrations,2,1356,1708,0.001,0.002
credentialProjections,2,1353,1701,0.001,0.002
recipientEditionRules,2,1258,1606,0.001,0.002
calendarDefinitions,2,1392,1604,0.001,0.002
interviewSessions,3,1264,1576,0.001,0.002
merchandiseCollections,2,1222,1572,0.001,0.001
venueFacts,2,1375,1569,0.001,0.001
offlineAccessPackages,1,1224,1398,0.001,0.001
marketIndexObservations,2,1152,1372,0.001,0.001
eventCalendarOverlays,2,1110,1326,0.001,0.001
fxObservations,2,1120,1322,0.001,0.001
contingencyRuleEditions,2,960,1180,0.001,0.001
locationFactorEditions,2,960,1178,0.001,0.001
s05aMigrationReceipts,1,1088,1163,0.001,0.001
s04cMigrationReceipts,2,1012,1162,0.001,0.001
riskBudgetProjections,1,1012,1153,0.001,0.001
s04bMigrationReceipts,1,1075,1150,0.001,0.001
hostDecisionReceipts,1,964,1137,0.001,0.001
riskPolicies,2,936,1134,0.001,0.001
seasonWindowEditions,2,904,1118,0.001,0.001
riskEvaluationRuns,1,990,1095,0.001,0.001
calibrationObservations,1,892,1068,0.001,0.001
coverageCatalogueEditions,2,832,1056,0.001,0.001
languageCoverageSnapshots,1,874,1052,0.001,0.001
locationCostZones,2,800,1008,0.001,0.001
budgetTaxonomyEditions,2,752,970,0.001,0.001
marketIndexDefinitions,2,736,954,0.001,0.001
guestJourneyProjections,1,771,947,0.001,0.001
eventAteliers,1,781,947,0.001,0.001
blueprintGenesises,1,763,934,0.001,0.001
curatedMediaSets,1,765,934,0.001,0.001
capMeasurements,1,726,894,0.001,0.001
terminologyEntries,1,711,882,0.001,0.001
curatedUpdates,1,713,880,0.001,0.001
companionEntitlements,1,704,878,0.001,0.001
hostMilestoneProjections,1,700,877,0.001,0.001
merchandiseExceptions,1,694,868,0.001,0.001
organisations,2,732,866,0.001,0.001
contingencyAssuranceProjections,1,637,821,0.001,0.001
s04dMigrationReceipts,1,726,801,0.001,0.001
riskFallbackActivations,1,648,791,0.001,0.001
vehicleAssociations,1,616,788,0.001,0.001
vendorUpdates,1,621,787,0.001,0.001
vendorEnsembleProjections,1,601,779,0.001,0.001
externalContactLinks,1,604,777,0.001,0.001
guestRelationships,1,604,775,0.001,0.001
operationalVehicles,1,600,772,0.001,0.001
approvedAssetEditions,1,597,771,0.001,0.001
forecastPolicies,1,664,767,0.001,0.001
rsvpEntitlements,1,576,745,0.001,0.001
budgetAssuranceProjections,1,529,708,0.001,0.001
riskEvaluationRunLeases,1,524,634,0,0.001
clientReviewActions,1,524,630,0,0.001
clientBriefDecisions,1,486,593,0,0.001
s05bMigrationReceipts,1,484,592,0,0.001
s04fMigrationReceipts,1,500,575,0,0.001
s04eMigrationReceipts,1,500,575,0,0.001
s05aEvaluationMigrationReceipts,1,452,570,0,0.001
clientInvestmentActions,1,460,570,0,0.001
rsvpKeyRings,1,384,483,0,0
