key_prefix,row_count,body_bytes,approx_row_bytes,approx_mib
(bare-uuid),2284,592953,978062,0.933
cap1000-live,2007,582735,982833,0.937
(no-uuid-in-key),1218,307212,503586,0.48
export-complete:,17,4726,7905,0.008
m6d-ux-READ_ONLY_AUDITOR,7,1974,3311,0.003
m6d-ux-PLANNER,7,1904,3171,0.003
m6d-ux-EVENT_DIRECTOR,7,1953,3269,0.003
s06c-live-grant-PLANNER,5,1405,2355,0.002
s06c-live-grant-READ_ONLY_AUDITOR,5,1455,2455,0.002
s06c-live-grant-EVENT_DIRECTOR,5,1440,2425,0.002
s06c-live-grant-CEO,5,1385,2315,0.002
m6b-live-PLANNER,3,822,1371,0.001
m6b-live-READ_ONLY_AUDITOR,3,852,1431,0.001
m6b-live-EVENT_DIRECTOR,3,843,1413,0.001
s06c-live-READ_ONLY_AUDITOR,2,570,958,0.001
s06c-live-EVENT_DIRECTOR,2,564,946,0.001
s06c-live-PLANNER,2,550,918,0.001
P8-7-070290-revoke,2,558,934,0.001
s06c-exact-cap1000-grant-READ_ONLY_AUDITOR,1,300,509,0
s06c-exact-cap1000-grant-EVENT_DIRECTOR,1,297,503,0
s06c-exact-cap1000-grant-PLANNER,1,290,489,0
m6b-cancel-PLANNER,1,276,461,0
m6b-cancel-EVENT_DIRECTOR,1,283,475,0
s06c-exact-cap1000-grant-CEO,1,286,481,0
